species,reps,subj
Na,1,X.NA_1160LR
Na,1,X.NA_1161L
Na,1,X.NA_7174LR
Na,1,X.NA_7189L
Na,1,X.NA_7321LR
Na,1,X.NA_7323LR
Na,1,X.NA_7325LR
Na,1,X.NA_7326L
Na,1,X.NA_7479LR
Na,1,X.NA_7558LR
Na,1,X.NA_10463LR
Na,1,X.NA_10464LR
Na,1,X.NA_10465LR
Na,1,X.NA_10466LR
Na,1,X.NA_10467LR
Na,1,X.NA_10471LR
Na,1,X.NA_10477LR
Na,1,X.NA_10479LR
Na,1,X.NA_10481LR
Na,1,X.NA_10482LR
Na,1,X.NA_10483LR
Na,1,X.NA_10486LR
Na,1,X.NA_10487LR
Na,1,X.NA_161983L
Na,1,X.NA_234515L
Na,1,X.NA_234517L
Na,1,X.NA_234520L
Na,1,X.NA_234521L
Na,1,X.NA_27864L
Na,1,X.NA_39621LR
Na,1,X.NA_62601L
Na,1,X.NA_7559LR
Na,1,X.NA_7577LR
Na,1,X.NA_7578LR
Na,1,X.NA_7579L
Na,1,X.NA_84637L
Na,1,X.NA_84638L
Na,1,X.NA_84639LR
Na,1,X.NA_84803L
Na,1,X.NA_95009L
Nc,1,X.NC_13370LR
Nc,1,X.NC_13381LR
Nc,1,X.NC_15539LR
Nc,1,X.NC_15546L
Nc,1,X.NC_15551LR
Nc,1,X.NC_22330LR
Nc,1,X.NC_22332L
Nc,1,X.NC_23103LR
Nc,1,X.NC_23109L
Nc,1,X.NC_23111L
Nc,1,X.NC_121991L
Nc,1,X.NC_121993L
Nc,1,X.NC_128770L
Nc,1,X.NC_132508L
Nc,1,X.NC_132509L
Nc,1,X.NC_132714L
Nc,1,X.NC_132715L
Nc,1,X.NC_218378L
Nc,1,X.NC_220747L
Nc,1,X.NC_220748L
Nc,1,X.NC_222826L
Nc,1,X.NC_224334L
Nc,1,X.NC_224650L
Nc,1,X.NC_23112L
Nc,1,X.NC_232199L
Nc,1,X.NC_24997L
Nc,1,X.NC_33719LR
Nc,1,X.NC_34865L
Nc,1,X.NC_35207L
Nc,1,X.NC_57071L
Nc,1,X.NC_57072L
Nc,1,X.NC_59068L
Nc,1,X.NC_59072L
Nc,1,X.NC_59073L
Nc,1,X.NC_64967L
Nc,1,X.NC_65425L
Nc,1,X.NC_65495L
Nc,1,X.NC_69443L
Nc,1,X.NC_69446L
Nf,1,X.NF_195212L
Nf,1,X.NF_195213LR
Nf,1,X.NF_195986L
Nf,1,X.NF_196356L
Nf,1,X.NF_196360L
Nf,1,X.NF_196363L
Nf,1,X.NF_196371L
Nf,1,X.NF_196382L
