Catalog number,Species,Wear,Latitude,Longitude,Year,County,State,Element,Deposit
MVZ 1160,N. albigula,,33.57277,-116.067,1908,Riverside,CA,,
MVZ 1161,N. albigula,*,33.57277,-116.067,1908,Riverside,CA,,
MVZ 7174,N. albigula,*,33.1426,-115.865,1909,Imperial,CA,,
MVZ 7189,N. albigula,,32.7352,-115.967,1909,Imperial,CA,,
MVZ 7321,N. albigula,,33.333,-115.833,1909,Imperial,CA,,
MVZ 7323,N. albigula,,33.333,-115.833,1909,Imperial,CA,,
MVZ 7325,N. albigula,,33.333,-115.833,1909,Imperial,CA,,
MVZ 7326,N. albigula,,33.333,-115.833,1909,Imperial,CA,,
MVZ 7479,N. albigula,,32.7923,-115.606,1909,Imperial,CA,,
MVZ 7558,N. albigula,,32.87883,-116.044,1909,San Diego,CA,,
MVZ 10463,N. albigula,,34.023,-114.541,1910,Riverside,CA,,
MVZ 10464,N. albigula,,34.023,-114.541,1910,Riverside,CA,,
MVZ 10465,N. albigula,,33.4167,-114.685,1910,Imperial,CA,,
MVZ 10466,N. albigula,,33.4167,-114.685,1910,Imperial,CA,,
MVZ 10467,N. albigula,,33.18,-114.7,1910,Imperial,CA,,
MVZ 10471,N. albigula,,33.18,-114.7,1910,Imperial,CA,,
MVZ 10477,N. albigula,,32.7654,-114.529,1910,Imperial,CA,,
MVZ 10479,N. albigula,,32.7654,-114.529,1910,Imperial,CA,,
MVZ 10481,N. albigula,,32.7654,-114.529,1910,Imperial,CA,,
MVZ 10482,N. albigula,,32.7654,-114.529,1910,Imperial,CA,,
MVZ 10483,N. albigula,,32.7654,-114.529,1910,Imperial,CA,,
MVZ 10486,N. albigula,,32.7314,-114.749,1910,Imperial,CA,,
MVZ 10487,N. albigula,,32.7314,-114.749,1910,Imperial,CA,,
MVZ 161983,N. albigula,,33.0994,-115.923,1980,Imperial,CA,,
MVZ 234515,N. albigula,,33.64,-116.139,2014,Riverside,CA,,
MVZ 234517,N. albigula,,33.64,-116.139,2015,Riverside,CA,,
MVZ 234520,N. albigula,,33.53999,-116.079,2015,Riverside,CA,,
MVZ 234521,N. albigula,,33.53999,-116.079,2015,Riverside,CA,,
MVZ 27864,N. albigula,,32.87883,-116.044,1918,San Diego,CA,,
MVZ 39621,N. albigula,,32.60139,-115,1928,Baja California,CA,,
MVZ 62601,N. albigula,,33.60856,-114.593,1934,Riverside,CA,,
MVZ 7559,N. albigula,,32.87883,-116.044,1909,San Diego,CA,,
MVZ 7577,N. albigula,,32.87883,-116.044,1909,San Diego,CA,,
MVZ 7578,N. albigula,,32.87883,-116.044,1909,San Diego,CA,,
MVZ 7579,N. albigula,,32.87883,-116.044,1909,San Diego,CA,,
MVZ 84637,N. albigula,,32.6827,-115.251,1938,Imperial,CA,,
MVZ 84638,N. albigula,,32.6827,-115.251,1938,Imperial,CA,,
MVZ 84639,N. albigula,,32.6827,-115.251,1938,Imperial,CA,,
MVZ 84803,N. albigula,,32.6827,-115.251,1938,Imperial,CA,,
MVZ 95009,N. albigula,,33.22694,-116.33,1941,San Diego,CA,,
MVZ 13370,N. cinerea,,41.16756,-122.861,1911,Trinity,CA,,
MVZ 13381,N. cinerea,,41.34264,-122.692,1911,Siskiyou,CA,,
MVZ 15539,N. cinerea,,36.09286,-118.226,1911,Tulare,CA,,
MVZ 15546,N. cinerea,,36.48861,-118.208,1911,Inyo,CA,,
MVZ 15551,N. cinerea,,36.48861,-118.208,1911,Inyo,CA,,
MVZ 22330,N. cinerea,,37.77411,-119.26,1915,Tuolumne,CA,,
MVZ 22332,N. cinerea,,37.8785,-119.367,1915,Tuolumne,CA,,
MVZ 23103,N. cinerea,*,37.78762,-119.341,1915,Mariposa,CA,,
MVZ 23109,N. cinerea,,37.78762,-119.341,1915,Mariposa,CA,,
MVZ 23111,N. cinerea,,37.87338,-119.171,1915,Mono,CA,,
MVZ 121991,N. cinerea,,41.58702,-123.692,1957,Del Norte,CA,,
MVZ 121993,N. cinerea,*,41.93184,-123.543,1957,Siskiyou,CA,,
MVZ 128770,N. cinerea,,39.43165,-120.248,1955,Nevada,CA,,
MVZ 132508,N. cinerea,,41.84132,-120.904,1963,Modoc,CA,,
MVZ 132509,N. cinerea,*,41.84132,-120.904,1963,Modoc,CA,,
MVZ 132714,N. cinerea,,39.72751,-122.844,1949,Glenn,CA,,
MVZ 132715,N. cinerea,,39.72751,-122.844,1952,Glenn,CA,,
MVZ 218378,N. cinerea,*,40.88837,-120.181,2006,Lassen,CA,,
MVZ 220747,N. cinerea,,40.40637,-121.361,2007,Plumas,CA,,
MVZ 220748,N. cinerea,,40.40637,-121.361,2007,Plumas,CA,,
MVZ 222826,N. cinerea,*,39.46031,-120.285,2008,Sierra,CA,,
MVZ 224334,N. cinerea,,36.43453,-118.283,2009,Tulare,CA,,
MVZ 224650,N. cinerea,,39.3057,-120.517,2009,Placer,CA,,
MVZ 23112,N. cinerea,,37.87338,-119.171,1915,Mono,CA,,
MVZ 232199,N. cinerea,*,38.66816,-119.91,2009,Alpine,CA,,
MVZ 24997,N. cinerea,,36.7938,-118.581,1916,Fresno,CA,,
MVZ 33719,N. cinerea,*,40.45969,-121.442,1923,Shasta,CA,,
MVZ 34865,N. cinerea,,40.4147,-121.532,1924,Tehama,CA,,
MVZ 35207,N. cinerea,,40.801,-120.612,1924,Lassen,CA,,
MVZ 57071,N. cinerea,,40.49,-123.523,1932,Trinity,CA,,
MVZ 57072,N. cinerea,,40.48086,-123.481,1932,Trinity,CA,,
MVZ 59068,N. cinerea,,40.87485,-123.732,1933,Humboldt,CA,,
MVZ 59072,N. cinerea,*,40.87485,-123.732,1933,Humboldt,CA,,
MVZ 59073,N. cinerea,,40.87485,-123.732,1933,Humboldt,CA,,
